Title,Description,Status,Priority,Labels,Estimate
Chunk 0 — Source-of-Truth Docs and Stale Doc Quarantine,"Mark the current architecture and roadmap as authoritative, quarantine stale docs, and make the contributor reading path clear.

## Acceptance criteria

- [ ] Current source-of-truth docs are listed before stale historical material.
- [ ] Stale local-MVP or cloud-heavy docs contain clear warning banners or archive notes.
- [ ] Root and docs README files direct new contributors to the authoritative architecture and roadmap.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 000
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-000-source-of-truth-docs-and-stale-doc-quarantine.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:000, docs, contributor-experience, good first issue, difficulty:beginner",2
Chunk 1 — Open-Source Foundation and Apache-2.0 Setup,"Add licensing, governance, issue templates, security policy, and provider-free contributor onboarding for an Apache-2.0 project.

## Acceptance criteria

- [ ] Apache-2.0 license, notice, trademarks, code of conduct, contributing, and security docs are present.
- [ ] Issue and pull request templates guide contributors without requiring private tools.
- [ ] Provider-free quickstart explains local setup without paid service credentials.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 001
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-001-open-source-foundation-and-apache-2-0-setup.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:001, docs, governance, contributor-experience, good first issue, difficulty:beginner",2
Chunk 2 — Repo Migration Map and Compatibility Strategy,"Map old task-MVP files to the new chat/run architecture so contributors know what to preserve, wrap, rename, or retire.

## Acceptance criteria

- [ ] Old task-MVP modules are inventoried against the new run/conversation architecture.
- [ ] Each legacy area has a preserve, wrap, rename, or retire decision.
- [ ] Tests to preserve or replace are documented for follow-up chunks.

## Test commands

- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 002
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-002-repo-migration-map-and-compatibility-strategy.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:002, docs, migration, contributor-experience, good first issue, difficulty:beginner",2
Chunk 3 — Protocol Foundation,"Create canonical protocol contracts for phases, envelopes, events, DAG schemas, retry policies, and validation policies.

## Acceptance criteria

- [ ] Protocol types cover run phases, event envelopes, DAG nodes, retry policy, and validation policy.
- [ ] Invalid protocol payloads are rejected by schema tests.
- [ ] No provider or UI behavior changes are introduced.

## Test commands

- `npm test -- tests/protocol.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 003
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-003-protocol-foundation.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:003, protocol, schemas, difficulty:intermediate",3
Chunk 4 — Core Data Model and Local Store,"Introduce conversation, message, run, artifact, event, and budget types with an in-memory provider-free store.

## Acceptance criteria

- [ ] Core data model types exist for conversations, messages, runs, artifacts, events, and budgets.
- [ ] In-memory local store supports create, read, list, update, and delete behavior needed by later chunks.
- [ ] Store tests prove provider-free operation and deterministic behavior.

## Test commands

- `npm test -- tests/store.test.ts tests/state.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 004
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-004-core-data-model-and-local-store.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:004, data-model, local-mode, difficulty:intermediate",3
Chunk 5 — Run State Machine and Event Log,"Implement the hidden run lifecycle with append-only events, validated transitions, and resumable NEEDS_DECISION state.

## Acceptance criteria

- [ ] Run lifecycle transitions match the architecture phase model.
- [ ] Every valid transition emits an append-only event and invalid transitions are rejected.
- [ ] NEEDS_DECISION is represented as a first-class resumable state.

## Test commands

- `npm test -- tests/runStateMachine.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 005
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-005-run-state-machine-and-event-log.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:005, state-machine, events, difficulty:intermediate",3
Chunk 6 — Chat API Vertical Shell,"Expose chat-first endpoints and a minimal UI shell while keeping orchestration details behind the user-facing conversation.

## Acceptance criteria

- [ ] Users can create and open conversations through chat-first endpoints.
- [ ] Sending a message produces an assistant response and visible run status metadata.
- [ ] Optional trace/events visibility exists without making agent orchestration the primary UX.

## Test commands

- `npm test -- tests/chatApi.test.ts tests/api.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 006
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-006-chat-api-vertical-shell.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:006, api, chat, ui, difficulty:intermediate",3
"Chunk 7 — Budget, Security, and Redaction Baseline","Add local budget controls, redaction utilities, setup-checklist secret safety, CORS config, dev auth bypass, and budget denial flow.

## Acceptance criteria

- [ ] Budget limits can deny work before provider calls are attempted.
- [ ] Redaction utilities remove secrets from logs, telemetry, docs examples, and setup output.
- [ ] Security tests cover CORS, dev-only auth bypass, rate limiting, and secret safety.

## Test commands

- `npm test -- tests/security.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 007
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-007-budget-security-and-redaction-baseline.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:007, security, budget, redaction, difficulty:intermediate",3
Chunk 8 — Triage and Context Builder,"Implement deterministic triage routes and context-pack generation with artifact handles for large material.

## Acceptance criteria

- [ ] Incoming chat work is routed by deterministic triage rules.
- [ ] Context packs include relevant artifacts, assumptions, and limits without dumping oversized content.
- [ ] Large docs, logs, or repo data are referenced by artifact handles.

## Test commands

- `npm test -- tests/triageContext.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 008
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-008-triage-and-context-builder.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:008, triage, context, difficulty:intermediate",3
Chunk 9 — Planner Schema and Fake Planner,"Define planner input/output contracts and a deterministic fake planner for local tests and provider-free development.

## Acceptance criteria

- [ ] Planner input and output schemas validate goals, assumptions, tasks, dependencies, validation, and risk.
- [ ] Fake planner produces deterministic plans for local provider-free tests.
- [ ] Approval gates are represented for unsafe or ambiguous work.

## Test commands

- `npm test -- tests/planner.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 009
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-009-planner-schema-and-fake-planner.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:009, planner, schemas, local-mode, difficulty:intermediate",3
Chunk 10 — Skeptic Review,"Add adversarial plan review that flags missing validation, unsafe assumptions, unsupported claims, and nonexistent dependencies.

## Acceptance criteria

- [ ] Skeptic review returns structured findings with severity and actionable messages.
- [ ] Review flags missing validation, dangling dependencies, risky assumptions, and unsupported claims.
- [ ] Tests cover accepted plans, warnings, blockers, and low-risk underestimation.

## Test commands

- `npm test -- tests/skeptic.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 010
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-010-skeptic-review.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:010, review, planner, quality, difficulty:intermediate",3
Chunk 11 — Crucible Arbitration,"Implement deterministic rules that arbitrate planner and skeptic outputs with revision, escalation, and blocker handling.

## Acceptance criteria

- [ ] Accepted plans, requested revisions, blockers, and escalation outcomes are deterministic.
- [ ] Planner versus skeptic disagreements are resolved without LLM judgment.
- [ ] At most two revision rounds occur before escalation.

## Test commands

- `npm test -- tests/crucible.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 011
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-011-crucible-arbitration.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:011, arbitration, planner, difficulty:intermediate",3
Chunk 12 — DAG Compiler,"Compile accepted plans into validated JSON DAGs with dependencies, validation nodes, budget policy, permissions, retries, and timeouts.

## Acceptance criteria

- [ ] Accepted plans compile to valid DAG JSON with nodes and dependency edges.
- [ ] Validation, budget, retry, timeout, and tool permission metadata are included.
- [ ] Unsafe shell permissions are denied by default in compiled metadata.

## Test commands

- `npm test -- tests/dagCompiler.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 012
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-012-dag-compiler.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:012, dag, compiler, schemas, difficulty:intermediate",3
Chunk 13 — Executor Simulator,"Run DAGs locally with fake providers and safe node types while enforcing dependencies, retries, timeouts, and shell denial.

## Acceptance criteria

- [ ] Simulator executes DAG nodes in dependency order with structured results.
- [ ] Retry policy, timeout metadata, dependency blocking, and unsafe shell denial are enforced in simulation.
- [ ] No real shell, provider, or external network execution occurs.

## Test commands

- `npm test -- tests/executorSimulator.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 013
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-013-executor-simulator.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:013, executor, simulation, local-mode, difficulty:intermediate",3
Chunk 14 — Validation and Healing Loop,"Implement bounded self-healing with validation failure classification, safe repair attempts, reruns, and escalation paths.

## Acceptance criteria

- [ ] Validation failures are classified into deterministic categories.
- [ ] Safe bounded repairs are proposed and applied only when allowed by policy.
- [ ] Unresolved or unsafe failures escalate to NEEDS_DECISION or FAILED.

## Test commands

- `npm test -- tests/validationHealing.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 014
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-014-validation-and-healing-loop.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:014, validation, healing, difficulty:advanced",5
Chunk 15 — End-to-End Chat Brainstem Test,"Create a full local proof from chat message through triage, planning, review, arbitration, DAG execution, validation, healing, and final answer.

## Acceptance criteria

- [ ] One chat message drives the complete provider-free orchestration path.
- [ ] Trace evidence proves triage, context, planning, skeptic, crucible, DAG, execution, validation, and healing steps ran.
- [ ] Final assistant output summarizes the local trace without requiring external providers.

## Test commands

- `npm test -- tests/chatBrainstemE2E.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 015
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-015-end-to-end-chat-brainstem-test.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:015, e2e, chat, quality, difficulty:advanced",5
Chunk 16 — Observability Baseline,"Add local trace IDs, latency, model-call counts, cost estimates, provider failure events, and no-op telemetry adapter shapes.

## Acceptance criteria

- [ ] Runs expose trace IDs, span-like timing, model-call count, estimated cost, and structured provider failure events.
- [ ] Sentry, PostHog, and OpenTelemetry-style adapters are represented as no-op/local shapes.
- [ ] Tests verify redaction and no external telemetry calls in local mode.

## Test commands

- `npm test -- tests/observability.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 016
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-016-observability-baseline.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:016, observability, telemetry, difficulty:intermediate",3
Chunk 17 — Provider Adapter Layer Phase 1,"Add the LLM provider interface, model router, capability metadata, fake provider contract tests, and opt-in Together AI adapter.

## Acceptance criteria

- [ ] Provider interface and capability metadata support fake/local and opt-in provider adapters.
- [ ] Router chooses providers by task needs while preserving provider-free defaults.
- [ ] Together AI adapter remains disabled unless explicit env and budget gates allow it.

## Test commands

- `npm test -- tests/llmProviders.test.ts tests/providers.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 017
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-017-provider-adapter-layer-phase-1.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:017, providers, llm, budget, difficulty:advanced",5
Chunk 18 — Provider Adapter Layer Phase 2,"Add Cloudflare Workers AI, Azure OpenAI, and Perplexity research adapters with route-based selection and opt-in network behavior.

## Acceptance criteria

- [ ] Cloudflare Workers AI, Azure OpenAI, and Perplexity adapters validate config and build provider requests.
- [ ] Route-based model assignment covers cheap, fast, flagship, and research calls.
- [ ] All live-provider behavior remains disabled by default and protected by env and budget gates.

## Test commands

- `npm test -- tests/providers.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 018
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-018-provider-adapter-layer-phase-2.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:018, providers, llm, research, difficulty:advanced",5
"Chunk 19 — Memory, Search, and Truth Library","Add local memory/search abstractions and Truth Library statuses with provenance, citations, and rejected-item filtering.

## Acceptance criteria

- [ ] Truth Library supports TRUSTED, UNVERIFIED, and REJECTED statuses with provenance and citations.
- [ ] Local search excludes rejected material by default and returns deterministic results.
- [ ] Chroma and Algolia are represented as optional future integrations, not required local dependencies.

## Test commands

- `npm test -- tests/memoryTruthLibrary.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 019
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-019-memory-search-and-truth-library.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:019, memory, search, truth-library, difficulty:advanced",5
Chunk 20 — Public Extension Contracts,"Document and test contributor-facing extension contracts for adapters such as LLM, memory, sandbox, telemetry, search, issue tracker, validator, and UI client.

## Acceptance criteria

- [ ] Public extension manifest and API version compatibility rules are documented.
- [ ] Adapter contract types cover LLM, memory, sandbox, telemetry, search, issue tracker, validator, and UI client surfaces.
- [ ] Contributor docs include examples that do not require network access or provider credentials.

## Test commands

- `npm test -- tests/extensions.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 020
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-020-public-extension-contracts.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:020, extensions, contracts, docs, contributor-experience, good first issue, difficulty:beginner",2
Chunk 21 — Retool Operator Console API,"Expose local operator endpoints for run inspection, failures, approvals, costs, retries, aborts, artifacts, and stub Linear issue creation.

## Acceptance criteria

- [ ] Operator endpoints expose run, event, cost, artifact, retry, abort, and approval metadata for local inspection.
- [ ] Endpoints are clearly marked local-only and do not require Retool for tests.
- [ ] Linear issue creation remains a non-network stub unless future approval and credentials are added.

## Test commands

- `npm test -- tests/operatorApi.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 021
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-021-retool-operator-console-api.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:021, operator-api, retool, integrations, difficulty:advanced",5
Chunk 22 — Safe Code Execution,"Add sandbox adapter contracts, hardened local allowlist behavior, patch artifacts, approval metadata, and E2B/Depot integration paths.

## Acceptance criteria

- [ ] Sandbox contracts and local safe executor deny arbitrary shell by default.
- [ ] Patch artifacts and file-write approval metadata are represented without applying unsafe changes automatically.
- [ ] E2B and Depot adapters are documented/stubbed as opt-in future integrations.

## Test commands

- `npm test -- tests/safeCodeExecution.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 022
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-022-safe-code-execution.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,High,"roadmap, chunk:022, sandbox, security, execution, difficulty:advanced",5
Chunk 23 — External Workflow Integrations,"Integrate Linear and Make request builders and disabled-by-default invocation gates, with Requestly and BrowserStack plans documented for later.

## Acceptance criteria

- [ ] Linear and Make payload schemas, config validation, and request builders are tested locally.
- [ ] Network invocation is disabled by default and protected by explicit configuration gates.
- [ ] Requestly and BrowserStack integration plans are documented without adding required dependencies.

## Test commands

- `npm test -- tests/workflows.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 023
- Difficulty: advanced
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-023-external-workflow-integrations.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:023, integrations, workflows, linear, difficulty:advanced",5
Chunk 24 — Deployment Prototype,"Add open-source demo deployment configuration, readiness docs, Heroku and Cloudflare shapes, optional service env examples, and graceful shutdown.

## Acceptance criteria

- [ ] Deployment configuration parsing validates and redacts Heroku, Cloudflare, MongoDB, Redis, Chroma, Sentry, and PostHog settings.
- [ ] Deployment docs explain prototype setup without provisioning infrastructure automatically.
- [ ] Runtime shutdown behavior is graceful and covered by local tests.

## Test commands

- `npm test -- tests/deployment.test.ts`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 024
- Difficulty: intermediate
- Good first issue: false
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-024-deployment-prototype.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Medium,"roadmap, chunk:024, deployment, docs, operations, difficulty:intermediate",3
Chunk 25 — Contributor Issue Breakdown,"Convert the roadmap into contributor-ready GitHub issue drafts with labels, acceptance criteria, test commands, difficulty, good-first-issue candidates, and sync guidance.

## Acceptance criteria

- [ ] Every roadmap chunk has a GitHub issue draft with labels, acceptance criteria, test commands, and difficulty metadata.
- [ ] Good-first-issue candidates are clearly marked for safe contributor entry points.
- [ ] Project board and Linear sync guidance is documented as manual and disabled-by-default with no network calls.
- [ ] The generator can validate committed issue docs with node scripts/generate-roadmap-issues.js --check.

## Test commands

- `npm test -- tests/contributorIssues.test.ts`
- `node scripts/generate-roadmap-issues.js --check`
- `npm test`
- `npm run build`

## Roadmap metadata

- Chunk: 025
- Difficulty: beginner
- Good first issue: true
- Milestone: v0.1.0-alpha
- Source of truth: docs/issues/generated/chunk-025-contributor-issue-breakdown.md

_Tracking note: the in-repo roadmap catalog (docs/issues/roadmap-issues.json) is the source of truth._
_Do not paste credentials, API keys, or private board URLs into this issue._",Todo,Low,"roadmap, chunk:025, docs, contributor-experience, automation, good first issue, difficulty:beginner",2
